# Fake data generated by fakedata.py
# Time	x1	x2	x3	x4	x5
0.0	1.004	0.729	1.630	1.535	1.496
0.1	1.119	0.899	1.870	1.689	1.650
0.2	1.229	1.064	2.097	1.834	1.794
0.3	1.333	1.223	2.307	1.968	1.924
0.4	1.431	1.374	2.497	2.091	2.041
0.5	1.521	1.514	2.667	2.202	2.142
0.6	1.605	1.641	2.813	2.299	2.227
0.7	1.680	1.755	2.933	2.383	2.295
0.8	1.748	1.853	3.027	2.453	2.345
0.9	1.807	1.934	3.093	2.508	2.377
1.0	1.858	1.997	3.131	2.549	2.390
1.1	1.900	2.042	3.141	2.574	2.385
1.2	1.934	2.069	3.121	2.585	2.362
1.3	1.959	2.076	3.073	2.581	2.320
1.4	1.976	2.065	2.997	2.562	2.261
1.5	1.985	2.036	2.895	2.530	2.185
1.6	1.986	1.989	2.768	2.485	2.093
1.7	1.979	1.925	2.617	2.427	1.986
1.8	1.965	1.847	2.445	2.357	1.866
1.9	1.944	1.754	2.255	2.276	1.733
2.0	1.916	1.650	2.048	2.186	1.589
2.1	1.883	1.535	1.827	2.087	1.436
2.2	1.844	1.412	1.595	1.980	1.275
2.3	1.800	1.283	1.356	1.868	1.107
2.4	1.752	1.151	1.112	1.750	0.936
2.5	1.700	1.016	0.866	1.628	0.762
2.6	1.645	0.883	0.622	1.504	0.587
2.7	1.588	0.752	0.383	1.379	0.413
2.8	1.528	0.626	0.151	1.254	0.242
2.9	1.467	0.508	-0.071	1.130	0.074
3.0	1.405	0.398	-0.280	1.008	-0.087
3.1	1.342	0.299	-0.474	0.890	-0.241
3.2	1.280	0.213	-0.650	0.776	-0.387
3.3	1.218	0.140	-0.807	0.668	-0.523
3.4	1.157	0.081	-0.944	0.566	-0.648
3.5	1.097	0.039	-1.058	0.471	-0.762
3.6	1.040	0.012	-1.149	0.384	-0.863
3.7	0.984	0.002	-1.217	0.305	-0.951
3.8	0.931	0.009	-1.261	0.235	-1.025
3.9	0.880	0.031	-1.281	0.173	-1.086
4.0	0.833	0.069	-1.278	0.121	-1.133
4.1	0.789	0.122	-1.252	0.079	-1.166
4.2	0.747	0.189	-1.205	0.045	-1.186
4.3	0.710	0.268	-1.137	0.021	-1.192
4.4	0.675	0.358	-1.051	0.006	-1.185
4.5	0.645	0.457	-0.947	0.000	-1.166
4.6	0.617	0.564	-0.829	0.002	-1.135
4.7	0.594	0.676	-0.698	0.013	-1.094
4.8	0.573	0.791	-0.556	0.031	-1.043
4.9	0.557	0.908	-0.406	0.055	-0.983
5.0	0.543	1.023	-0.250	0.087	-0.915
5.1	0.533	1.136	-0.091	0.124	-0.840
5.2	0.526	1.244	0.070	0.166	-0.759
5.3	0.522	1.344	0.229	0.212	-0.673
5.4	0.521	1.436	0.385	0.263	-0.584
5.5	0.523	1.517	0.536	0.316	-0.492
5.6	0.528	1.587	0.680	0.372	-0.398
5.7	0.535	1.642	0.815	0.430	-0.303
5.8	0.544	1.684	0.939	0.489	-0.208
5.9	0.556	1.710	1.052	0.548	-0.114
6.0	0.569	1.720	1.153	0.608	-0.022
6.1	0.585	1.714	1.240	0.667	0.068
6.2	0.602	1.692	1.313	0.725	0.156
6.3	0.621	1.653	1.372	0.783	0.240
6.4	0.641	1.599	1.417	0.838	0.321
6.5	0.662	1.531	1.448	0.891	0.397
6.6	0.684	1.448	1.466	0.942	0.470
6.7	0.707	1.353	1.471	0.991	0.538
6.8	0.731	1.246	1.465	1.037	0.602
6.9	0.755	1.130	1.448	1.079	0.661
7.0	0.779	1.006	1.422	1.119	0.716
7.1	0.804	0.876	1.388	1.156	0.766
7.2	0.828	0.742	1.346	1.190	0.813
7.3	0.852	0.606	1.300	1.220	0.855
7.4	0.875	0.470	1.250	1.247	0.894
7.5	0.897	0.335	1.198	1.271	0.929
7.6	0.918	0.205	1.146	1.291	0.960
7.7	0.937	0.080	1.094	1.308	0.988
7.8	0.955	-0.037	1.043	1.321	1.013
7.9	0.971	-0.144	0.996	1.331	1.036
8.0	0.984	-0.242	0.953	1.338	1.055
8.1	0.995	-0.327	0.915	1.341	1.071
8.2	1.003	-0.400	0.883	1.341	1.085
8.3	1.008	-0.459	0.857	1.337	1.095
8.4	1.010	-0.503	0.837	1.329	1.103
8.5	1.008	-0.533	0.824	1.317	1.108
8.6	1.002	-0.549	0.817	1.302	1.110
8.7	0.992	-0.550	0.817	1.282	1.109
8.8	0.978	-0.537	0.821	1.258	1.104
8.9	0.959	-0.512	0.831	1.230	1.096
9.0	0.935	-0.474	0.845	1.198	1.083
9.1	0.906	-0.425	0.861	1.161	1.066
9.2	0.872	-0.366	0.880	1.119	1.044
9.3	0.834	-0.299	0.898	1.073	1.018
9.4	0.790	-0.226	0.917	1.022	0.986
9.5	0.741	-0.148	0.933	0.966	0.949
9.6	0.687	-0.068	0.945	0.906	0.907
9.7	0.628	0.013	0.953	0.840	0.858
9.8	0.565	0.093	0.954	0.770	0.803
9.9	0.496	0.170	0.949	0.696	0.742
10.0	0.424	0.242	0.934	0.617	0.675
10.1	0.347	0.308	0.910	0.535	0.602
10.2	0.266	0.365	0.876	0.448	0.523
10.3	0.183	0.412	0.831	0.358	0.438
10.4	0.096	0.448	0.774	0.266	0.348
10.5	0.007	0.472	0.706	0.170	0.253
10.6	-0.085	0.482	0.626	0.073	0.153
10.7	-0.177	0.479	0.534	-0.025	0.049
10.8	-0.270	0.461	0.432	-0.124	-0.058
10.9	-0.364	0.428	0.319	-0.223	-0.168
11.0	-0.457	0.382	0.196	-0.322	-0.280
11.1	-0.550	0.321	0.065	-0.418	-0.392
11.2	-0.640	0.247	-0.072	-0.513	-0.504
11.3	-0.728	0.160	-0.216	-0.604	-0.615
11.4	-0.814	0.062	-0.363	-0.692	-0.724
11.5	-0.896	-0.046	-0.512	-0.775	-0.830
11.6	-0.973	-0.163	-0.661	-0.852	-0.931
11.7	-1.046	-0.287	-0.807	-0.923	-1.028
11.8	-1.114	-0.416	-0.950	-0.987	-1.117
11.9	-1.176	-0.548	-1.086	-1.044	-1.199
12.0	-1.231	-0.681	-1.215	-1.092	-1.273
12.1	-1.280	-0.813	-1.332	-1.131	-1.338
12.2	-1.322	-0.942	-1.437	-1.160	-1.392
12.3	-1.356	-1.067	-1.528	-1.180	-1.436
12.4	-1.382	-1.184	-1.604	-1.189	-1.468
12.5	-1.401	-1.292	-1.662	-1.189	-1.487
12.6	-1.412	-1.390	-1.701	-1.177	-1.495
12.7	-1.414	-1.476	-1.721	-1.155	-1.490
12.8	-1.409	-1.548	-1.720	-1.122	-1.472
12.9	-1.395	-1.605	-1.698	-1.079	-1.441
13.0	-1.374	-1.646	-1.656	-1.026	-1.398
13.1	-1.345	-1.671	-1.592	-0.963	-1.343
13.2	-1.308	-1.678	-1.508	-0.891	-1.276
13.3	-1.265	-1.669	-1.404	-0.811	-1.198
13.4	-1.215	-1.642	-1.281	-0.723	-1.109
13.5	-1.159	-1.599	-1.141	-0.628	-1.011
13.6	-1.096	-1.539	-0.985	-0.526	-0.904
13.7	-1.029	-1.464	-0.815	-0.420	-0.791
13.8	-0.957	-1.375	-0.633	-0.309	-0.671
13.9	-0.881	-1.273	-0.441	-0.195	-0.546
14.0	-0.802	-1.160	-0.243	-0.080	-0.418
14.1	-0.720	-1.037	-0.039	0.037	-0.287
14.2	-0.636	-0.907	0.166	0.153	-0.156
14.3	-0.550	-0.771	0.371	0.268	-0.026
14.4	-0.464	-0.632	0.572	0.380	0.101
14.5	-0.378	-0.492	0.767	0.488	0.225
14.6	-0.292	-0.353	0.953	0.591	0.344
14.7	-0.207	-0.217	1.127	0.689	0.457
14.8	-0.124	-0.086	1.287	0.780	0.561
14.9	-0.044	0.037	1.431	0.863	0.657
15.0	0.034	0.151	1.556	0.938	0.744
15.1	0.108	0.254	1.661	1.004	0.819
15.2	0.179	0.344	1.745	1.060	0.883
15.3	0.245	0.421	1.806	1.106	0.935
15.4	0.307	0.482	1.842	1.142	0.975
15.5	0.364	0.527	1.855	1.166	1.002
15.6	0.416	0.556	1.842	1.180	1.015
15.7	0.463	0.567	1.805	1.183	1.016
15.8	0.504	0.561	1.744	1.175	1.003
15.9	0.540	0.539	1.659	1.157	0.979
16.0	0.571	0.500	1.551	1.128	0.942
16.1	0.596	0.445	1.423	1.090	0.894
16.2	0.615	0.376	1.276	1.042	0.835
16.3	0.629	0.293	1.111	0.986	0.766
16.4	0.638	0.198	0.931	0.923	0.689
16.5	0.642	0.093	0.738	0.852	0.604
16.6	0.642	-0.021	0.535	0.775	0.512
16.7	0.636	-0.140	0.325	0.692	0.416
16.8	0.627	-0.265	0.110	0.606	0.315
16.9	0.613	-0.391	-0.107	0.516	0.211
17.0	0.595	-0.518	-0.323	0.423	0.106
17.1	0.574	-0.642	-0.535	0.329	0.000
17.2	0.550	-0.762	-0.741	0.235	-0.104
17.3	0.523	-0.875	-0.938	0.141	-0.207
17.4	0.494	-0.981	-1.123	0.048	-0.306
17.5	0.462	-1.076	-1.295	-0.042	-0.400
17.6	0.428	-1.159	-1.450	-0.130	-0.489
17.7	0.393	-1.229	-1.589	-0.214	-0.572
17.8	0.356	-1.284	-1.708	-0.294	-0.648
17.9	0.318	-1.324	-1.807	-0.370	-0.716
18.0	0.279	-1.348	-1.885	-0.440	-0.777
18.1	0.239	-1.355	-1.941	-0.505	-0.828
18.2	0.199	-1.345	-1.976	-0.564	-0.872
18.3	0.158	-1.318	-1.988	-0.617	-0.906
18.4	0.117	-1.275	-1.980	-0.663	-0.931
18.5	0.076	-1.216	-1.950	-0.704	-0.948
18.6	0.034	-1.142	-1.901	-0.739	-0.957
18.7	-0.007	-1.055	-1.834	-0.768	-0.958
18.8	-0.047	-0.955	-1.750	-0.791	-0.951
18.9	-0.088	-0.845	-1.651	-0.810	-0.938
19.0	-0.128	-0.726	-1.539	-0.823	-0.918
19.1	-0.167	-0.600	-1.416	-0.832	-0.893
19.2	-0.206	-0.469	-1.285	-0.837	-0.864
19.3	-0.245	-0.336	-1.147	-0.838	-0.831
19.4	-0.282	-0.201	-1.005	-0.836	-0.795
19.5	-0.319	-0.068	-0.862	-0.832	-0.756
19.6	-0.356	0.061	-0.720	-0.826	-0.717
19.7	-0.391	0.184	-0.581	-0.819	-0.677
19.8	-0.425	0.300	-0.447	-0.811	-0.638
19.9	-0.459	0.406	-0.321	-0.803	-0.600
20.0	-0.491	0.500	-0.204	-0.794	-0.563
20.1	-0.522	0.582	-0.099	-0.787	-0.529
20.2	-0.552	0.650	-0.006	-0.780	-0.498
20.3	-0.580	0.702	0.074	-0.774	-0.471
20.4	-0.607	0.738	0.138	-0.770	-0.447
20.5	-0.632	0.758	0.187	-0.768	-0.427
20.6	-0.655	0.761	0.221	-0.767	-0.411
20.7	-0.677	0.747	0.238	-0.769	-0.399
20.8	-0.696	0.716	0.239	-0.773	-0.392
20.9	-0.713	0.670	0.225	-0.779	-0.388
21.0	-0.728	0.608	0.196	-0.787	-0.388
21.1	-0.741	0.532	0.154	-0.797	-0.391
21.2	-0.751	0.443	0.099	-0.808	-0.398
21.3	-0.759	0.342	0.032	-0.821	-0.406
21.4	-0.764	0.232	-0.045	-0.836	-0.417
21.5	-0.767	0.114	-0.129	-0.851	-0.428
21.6	-0.767	-0.010	-0.220	-0.867	-0.441
21.7	-0.764	-0.137	-0.315	-0.884	-0.453
21.8	-0.758	-0.267	-0.413	-0.901	-0.465
21.9	-0.750	-0.396	-0.512	-0.918	-0.476
22.0	-0.740	-0.523	-0.609	-0.934	-0.485
22.1	-0.727	-0.646	-0.703	-0.949	-0.492
22.2	-0.712	-0.762	-0.792	-0.964	-0.495
22.3	-0.695	-0.869	-0.875	-0.977	-0.495
22.4	-0.676	-0.967	-0.949	-0.989	-0.492
22.5	-0.655	-1.054	-1.015	-0.999	-0.484
22.6	-0.633	-1.127	-1.070	-1.008	-0.472
22.7	-0.610	-1.187	-1.113	-1.015	-0.455
22.8	-0.586	-1.232	-1.145	-1.020	-0.434
22.9	-0.561	-1.261	-1.164	-1.023	-0.408
23.0	-0.536	-1.275	-1.171	-1.024	-0.378
23.1	-0.512	-1.273	-1.164	-1.024	-0.343
23.2	-0.488	-1.256	-1.146	-1.022	-0.305
23.3	-0.465	-1.223	-1.116	-1.019	-0.262
23.4	-0.443	-1.176	-1.075	-1.015	-0.217
23.5	-0.422	-1.116	-1.024	-1.010	-0.169
23.6	-0.404	-1.043	-0.964	-1.005	-0.119
23.7	-0.388	-0.960	-0.897	-0.999	-0.068
23.8	-0.375	-0.867	-0.824	-0.993	-0.016
23.9	-0.364	-0.767	-0.746	-0.988	0.036
24.0	-0.357	-0.661	-0.666	-0.984	0.087
24.1	-0.353	-0.552	-0.584	-0.981	0.136
24.2	-0.353	-0.441	-0.503	-0.979	0.183
24.3	-0.356	-0.329	-0.424	-0.979	0.228
24.4	-0.364	-0.221	-0.350	-0.981	0.268
24.5	-0.375	-0.116	-0.281	-0.985	0.304
24.6	-0.391	-0.017	-0.219	-0.991	0.336
24.7	-0.410	0.074	-0.165	-1.000	0.362
24.8	-0.433	0.155	-0.121	-1.011	0.382
24.9	-0.460	0.226	-0.088	-1.025	0.396
25.0	-0.491	0.284	-0.066	-1.042	0.404
25.1	-0.526	0.330	-0.056	-1.061	0.405
25.2	-0.563	0.361	-0.057	-1.082	0.400
25.3	-0.604	0.378	-0.072	-1.106	0.388
25.4	-0.647	0.381	-0.098	-1.131	0.370
25.5	-0.692	0.368	-0.136	-1.158	0.346
25.6	-0.740	0.341	-0.185	-1.186	0.316
25.7	-0.789	0.301	-0.244	-1.215	0.281
25.8	-0.839	0.247	-0.313	-1.244	0.241
25.9	-0.889	0.181	-0.389	-1.273	0.197
26.0	-0.940	0.104	-0.472	-1.302	0.150
26.1	-0.990	0.017	-0.559	-1.329	0.100
26.2	-1.039	-0.077	-0.649	-1.354	0.049
26.3	-1.087	-0.178	-0.741	-1.378	-0.004
26.4	-1.133	-0.283	-0.832	-1.398	-0.057
26.5	-1.177	-0.390	-0.921	-1.415	-0.109
26.6	-1.218	-0.498	-1.005	-1.429	-0.160
26.7	-1.257	-0.604	-1.083	-1.438	-0.208
26.8	-1.291	-0.707	-1.153	-1.442	-0.254
26.9	-1.322	-0.804	-1.214	-1.442	-0.296
27.0	-1.349	-0.893	-1.264	-1.436	-0.334
27.1	-1.371	-0.973	-1.301	-1.425	-0.366
27.2	-1.389	-1.043	-1.324	-1.408	-0.393
27.3	-1.402	-1.100	-1.333	-1.385	-0.415
27.4	-1.410	-1.144	-1.327	-1.356	-0.430
27.5	-1.413	-1.173	-1.306	-1.321	-0.439
27.6	-1.410	-1.187	-1.268	-1.280	-0.442
27.7	-1.403	-1.185	-1.215	-1.234	-0.438
27.8	-1.390	-1.167	-1.147	-1.183	-0.427
27.9	-1.373	-1.134	-1.063	-1.127	-0.411
28.0	-1.350	-1.084	-0.966	-1.065	-0.389
28.1	-1.323	-1.020	-0.856	-1.000	-0.362
28.2	-1.291	-0.941	-0.735	-0.931	-0.329
28.3	-1.255	-0.848	-0.604	-0.860	-0.293
28.4	-1.214	-0.744	-0.465	-0.785	-0.252
28.5	-1.170	-0.629	-0.319	-0.709	-0.209
28.6	-1.122	-0.505	-0.169	-0.631	-0.163
28.7	-1.071	-0.374	-0.018	-0.553	-0.116
